web-scraper-order,web-scraper-start-url,Categoria_Electrodomesticos,Categoria_Electrodomesticos-href,Refrigeradores,Refrigeradores-href,Nombre_Producto,Nombre_Producto-href,Precio,Marca,Foto_Nevera-src
"1604780552-325","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Siberia 230 Litros Haceb - Manija Externa Aluminio","https://articulo.mercadolibre.com.co/MCO-543758082-nevera-siberia-230-litros-haceb-manija-externa-aluminio-_JM#searchVariation=47126473027&position=18&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","1.279.900","",""
"1604780449-235","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Minibar 67 Lts Hyrf67s Hyundai","https://articulo.mercadolibre.com.co/MCO-555232315-nevera-minibar-67-lts-hyrf67s-hyundai-_JM#position=45&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","Hyundai",""
"1604780512-287","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Mini Bar / Nevera Titanium Challenger - Ref. Cr 152 / 121 L","https://articulo.mercadolibre.com.co/MCO-500357693-mini-bar-nevera-titanium-challenger-ref-cr-152-121-l-_JM#position=29&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","559.900","",""
"1604780531-305","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Challenger Negra No Frost 428 - Ref Cr 428 / 370l","https://articulo.mercadolibre.com.co/MCO-499643024-nevera-challenger-negra-no-frost-428-ref-cr-428-370l-_JM#position=24&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","1.339.900","",""
"1604780469-254","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Mini Cooluli 4 Litros Entrega Inmediata . Nueva","https://articulo.mercadolibre.com.co/MCO-570300054-nevera-mini-cooluli-4-litros-entrega-inmediata-nueva-_JM#searchVariation=59792422148&position=40&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","","https://http2.mlstatic.com/nevera-mini-cooluli-4-litros-entrega-inmediata-nueva-D_NQ_NP_946182-MCO42609501803_072020-O.webp"
"1604780442-229","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Vertical Nevera Vertical Enfriadora Panorámica","https://articulo.mercadolibre.com.co/MCO-559970017-vertical-nevera-vertical-enfriadora-panoramica-_JM#position=47&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","9.000.000","",""
"1604780601-370","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Filtro De Agua Para Nevera Samsung Da29-00020b","https://articulo.mercadolibre.com.co/MCO-452323535-filtro-de-agua-para-nevera-samsung-da29-00020b-_JM#position=4&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","","https://http2.mlstatic.com/filtro-de-agua-para-nevera-samsung-da29-00020b-D_NQ_NP_878840-MCO31353813462_072019-O.webp"
"1604780541-317","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Siberia 259 Litros Haceb - Manija Externa - Inox Mate","https://articulo.mercadolibre.com.co/MCO-543758951-nevera-siberia-259-litros-haceb-manija-externa-inox-mate-_JM#searchVariation=47127167646&position=21&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","Haceb",""
"1604780483-266","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Mini Refrigeradora De Bebidas Puerto Usb Portatil","https://articulo.mercadolibre.com.co/MCO-585396708-nevera-mini-refrigeradora-de-bebidas-puerto-usb-portatil-_JM#searchVariation=65032575441&position=36&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","","https://http2.mlstatic.com/nevera-mini-refrigeradora-de-bebidas-puerto-usb-portatil-D_NQ_NP_988427-MCO43616838915_092020-O.webp"
"1604780527-304","https://www.mercadolibre.com.co/","Electrodomésticos","https://www.mercadolibre.com.co/c/electrodomesticos#c_id=/home/categories/element&c_category_id=MCO5726&c_uid=438b8e7c-25f0-4310-8091-df0485c30b43","Refrigera-ciónVer productos","https://listado.mercadolibre.com.co/electrodomesticos/refrigeracion/nuevo/_PriceRange_100000-0#deal_print_id=9ca91790-2136-11eb-8e75-0fe8c345e704","Nevera Siberia 259 Litros Haceb-manija Integrada - Inox Mate","https://articulo.mercadolibre.com.co/MCO-543758497-nevera-siberia-259-litros-haceb-manija-integrada-inox-mate-_JM#searchVariation=47126894625&position=25&type=item&tracking_id=c2043124-df17-4bdd-b460-e7b104e9c6ad","","","https://http2.mlstatic.com/nevera-siberia-259-litros-haceb-manija-integrada-inox-mate-D_NQ_NP_929834-MCO33026899491_112019-O.webp"
