Date,GOFO - 1 Month,GOFO - 2 Months,GOFO - 3 Months,GOFO - 6 Months,GOFO - 12 Months,LIBOR - 1 Month,LIBOR - 2 Months,LIBOR - 3 Months,LIBOR - 6 Months,LIBOR - 12 Months,LIBOR-GOFO - 1 Month,LIBOR-GOFO - 2 Months,LIBOR-GOFO - 3 Months,LIBOR-GOFO - 6 Months,LIBOR-GOFO - 12 Months
2014-01-02,-0.02,-0.005,0.00667,0.06167,0.15833,0.1683,0.2125,0.24285,0.3464,0.5826,0.1883,0.2175,0.23618,0.28473,0.42427
2014-01-03,-0.01667,-0.00333,0.01,0.06,0.15667,0.1647,0.20995,0.23985,0.3452,0.5846,0.18137,0.21328,0.22985,0.2852,0.42793
2014-01-06,-0.02667,-0.00833,0.00667,0.05333,0.15657,0.1625,0.20825,0.23935,0.3445,0.5854,0.18917,0.21658,0.23268,0.29117,0.42883
2014-01-07,-0.035,-0.01667,-0.00333,0.04667,0.155,0.1615,0.2082,0.2421,0.3447,0.5866,0.1965,0.22487,0.24543,0.29803,0.4316
2014-01-08,-0.03,-0.01167,-0.00167,0.04,0.155,0.161,0.2075,0.2404,0.3452,0.5856,0.191,0.21917,0.24207,0.3052,0.4306
2014-01-09,-0.02333,-0.00333,0.00833,0.05,0.16,0.18429,0.22286,0.26,0.35557,0.52743,0.20762,0.22619,0.25167,0.30557,0.36743
2014-01-10,-0.015,0.0,0.01333,0.04667,0.16,0.1604,0.20865,0.24165,0.3444,0.5826,0.1754,0.20865,0.22832,0.29773,0.4226
2014-01-13,-0.01333,0.0,0.01167,0.04833,0.15667,0.16,0.20775,0.2389,0.3384,0.5736,0.17333,0.20775,0.22723,0.29007,0.41693
2014-01-14,-0.00833,0.00167,0.01,0.04667,0.15,0.159,0.2055,0.23675,0.3355,0.5681,0.16733,0.20383,0.22675,0.28883,0.4181
2014-01-15,-0.004,0.006,0.018,0.052,0.156,0.1587,0.203,0.23785,0.3356,0.5716,0.1627,0.197,0.21985,0.2836,0.4156
2014-01-16,0.0,0.01333,0.02333,0.05667,0.15333,0.157,0.2013,0.23635,0.3346,0.5716,0.157,0.18797,0.21302,0.27793,0.41827
2014-01-17,0.015,0.02667,0.03667,0.06667,0.15667,0.157,0.2023,0.2366,0.3346,0.5721,0.142,0.17563,0.19993,0.26793,0.41543
2014-01-20,0.01333,0.025,0.03167,0.06667,0.15,0.157,0.2021,0.2371,0.3341,0.5721,0.14367,0.1771,0.20543,0.26743,0.4221
2014-01-21,0.01,0.02167,0.03,0.065,0.15333,0.157,0.20235,0.2366,0.3341,0.5726,0.147,0.18068,0.2066,0.2691,0.41927
