indice_tiempo,ica_importaciones_brasil,ica_importaciones_paraguay,ica_importaciones_uruguay,ica_importaciones_venezuela,ica_importaciones_total_mercosur,ica_importaciones_bolivia,ica_importaciones_chile,ica_importaciones_colombia,ica_importaciones_aladi,ica_importaciones_canada,ica_importaciones_estados_unidos,ica_importaciones_mexico,ica_importaciones_peru,ica_importaciones_alianza_pacifico,ica_importaciones_ecuador,ica_importaciones_resto_al,ica_importaciones_total_resto_al,ica_importaciones_total_nafta,ica_importaciones_espana,ica_importaciones_francia,ica_importaciones_italia,ica_importaciones_paises_bajos,ica_importaciones_polonia,ica_importaciones_portugal,ica_importaciones_reino_unido,ica_importaciones_resto_ue_28,ica_importaciones_total_ue_28,ica_importaciones_alemania,ica_importaciones_austria,ica_importaciones_belgica,ica_importaciones_asean,ica_importaciones_medio_oriente,ica_importaciones_china,ica_importaciones_japon,ica_importaciones_tailandia,ica_importaciones_taiwan,ica_importaciones_vietnam,ica_importaciones_resto_pacifico,ica_importaciones_corea,ica_importaciones_indonesia,ica_importaciones_india,ica_importaciones_suiza,ica_importaciones_rusia,ica_importaciones_sudafrica,ica_importaciones_australia,ica_importaciones_nueva_zelanda,ica_importaciones_angola,ica_importaciones_argelia,ica_importaciones_egipto,ica_importaciones_marruecos,ica_importaciones_resto_africa,ica_importaciones_total_africa,ica_importaciones_israel,ica_importaciones_resto_mundo,ica_importaciones_totales,ica_participacion_import_mercado_comun_centroamericano,ica_participacion_importaciones_can_total
1990-01-01,715.146969,39.754838,78.530622,8.034803,841.467232,235.851304,95.445913,27.209853,1356.018486,32.134389,804.97981,116.844956,11.689999,251.190721,17.576938,17.38662,1363.472815,953.959155,111.198446,173.738659,213.46197,48.996902,16.837135,2.960887,94.673686,828.548475,48.239993,54.396392,26.522021,37.522384,47.874504,21.383371,40.938928,181.225351,0.853954,25.729346,0.0,38.553715,87.687594,8.466835,7.704649,84.483777,0.0,0.0,89.419065,0.871806,0.034347,0.0,0.064974,0.874051,3.735774,4.709146,8.58346,468.301887,4076.665002,0.495496,292.328094
1991-01-01,1531.861838,40.35426,165.979642,23.642487,1761.838227,247.471712,235.807462,34.488203,2549.284218,65.342485,1470.974596,180.681682,49.341376,500.318723,25.904878,40.744149,2576.277689,1716.940277,201.41875,300.233329,376.200422,121.988133,17.466065,6.901093,199.600551,2056.362128,110.130386,625.489688,39.051898,57.881813,95.625255,21.28502,240.659639,602.137852,10.298693,137.071698,0.243813,71.861742,274.129422,13.21448,18.850867,120.062291,0.0,55.570373,96.37184,19.757271,0.026908,0.0,0.280262,1.356246,57.848164,115.081953,19.83396,366.738515,8275.270934,3.527146,357.206169
1992-01-01,3366.595178,62.357349,247.372825,25.563517,3701.888869,135.790607,394.891176,80.400909,4665.152407,98.969129,2468.916277,207.134926,87.381776,769.808787,42.059584,63.815357,4713.363204,2774.504915,406.625916,696.541846,779.028089,139.43684,42.125713,8.879033,286.669066,3656.792614,212.885739,931.611736,58.556299,94.432337,206.667964,59.809202,587.414463,1094.726398,21.931933,266.562808,0.085255,159.106334,569.84574,25.461345,37.137387,190.701035,48.691202,87.400577,73.630292,43.412418,0.0,0.024989,0.741024,3.32149,9.389908,100.877988,41.053977,673.074369,14871.754168,10.363705,345.632876
1993-01-01,3663.865868,67.448,297.374162,37.712927,4066.400957,106.060124,472.511868,44.468299,5035.804539,123.180347,3076.22822,237.063369,25.276633,779.320169,66.117827,66.536387,5084.435464,3436.471168,507.510832,932.750335,1068.570071,134.959405,26.545492,14.881653,377.318473,4398.887127,274.014409,888.112622,77.968934,96.254901,266.419986,39.760472,722.263276,1038.584958,40.967319,259.656774,0.380981,184.670412,584.596371,40.401094,42.136945,203.221954,57.43656,96.27513,73.55325,22.057185,0.0,4.670042,1.707602,3.309308,22.479795,128.441877,38.082305,664.330508,16783.512927,9.343093,241.922883
1994-01-01,4325.074489,63.301447,395.432992,42.402556,4826.211484,133.327971,541.12069,60.267289,6017.090985,179.679879,4330.584339,266.768581,24.331216,892.487776,92.756168,109.784066,6054.567465,4777.023806,769.588709,1613.53055,1590.095975,175.331023,28.428096,58.341648,567.461673,6684.550697,362.592782,1275.046679,89.047126,155.086436,351.028532,72.28624,837.664054,986.272997,47.689367,308.171633,1.061973,238.616693,570.518051,63.659153,66.709746,253.585232,88.014861,99.190612,69.586016,18.873513,0.001303,14.358247,2.541674,1.768731,71.433193,189.29376,58.159585,542.996364,21590.255378,12.237142,310.682644
1995-01-01,4175.97613,139.840936,286.888104,46.28396,4648.98913,135.111763,513.814783,50.926967,5881.95507,273.528967,4177.313658,376.424427,33.863907,975.030084,100.817655,49.025608,5908.97424,4827.264774,929.733096,1039.567128,1258.939409,220.146301,24.103426,54.58404,646.316225,6153.721383,414.064224,1250.656639,91.540584,224.070311,344.478011,79.676907,684.242039,710.822559,51.782388,228.928497,3.132552,220.603887,362.144654,68.928287,62.352989,235.553377,85.641985,124.474987,121.794689,29.066393,5.820713,18.571148,1.333298,6.999784,98.535207,255.735137,62.164125,425.250686,20121.682492,5.461273,320.720292
1996-01-01,5327.118841,182.111502,299.829817,111.861372,5920.921532,136.293758,559.383424,48.967469,7376.457907,275.429521,4719.441297,541.004449,37.035551,1186.390893,108.719506,79.103706,7431.429395,5535.875267,1063.575243,1180.813243,1503.491645,234.152054,31.498731,34.98202,719.514096,7081.609941,563.094389,1427.342722,100.563542,222.582256,396.045334,115.764785,787.493207,725.305336,71.528128,299.645257,5.656101,240.216686,428.088865,78.582943,81.558766,268.844598,96.678785,105.029226,96.371924,25.91841,0.0,25.364535,1.208359,18.236813,126.916666,276.755599,91.282935,679.971198,23761.808892,15.310646,331.016284
1997-01-01,6915.977039,319.59679,377.123274,62.31849,7675.015593,135.819801,687.52085,88.756607,9405.360385,450.181387,6058.613022,610.113094,49.797681,1436.188232,111.427424,83.999711,9442.450761,7118.379189,1255.59765,1374.466267,1747.335332,262.578251,55.74363,53.638448,887.090764,8528.668689,802.38735,1654.954299,143.455987,291.420711,607.273562,178.170035,1077.785356,1149.865874,117.7888,396.093997,12.120931,357.306531,641.260548,119.08934,127.975712,281.874708,128.835192,109.448753,103.521715,38.778287,5.65663,33.765427,3.637353,16.451564,160.99098,329.950707,146.11747,941.904931,30450.183958,10.46064,385.801513
1998-01-01,7060.55371,347.629562,530.904178,58.317434,7997.404884,115.394239,707.556642,115.042726,9708.647037,384.91271,6176.591935,603.322962,32.386511,1458.308841,103.000946,76.904259,9751.013169,7163.156368,1285.174401,1582.53011,1604.976805,245.280604,53.931605,69.337172,878.127005,8822.190277,796.757978,1876.094206,140.576373,289.404018,667.951268,153.983618,1226.669585,1452.917746,133.279993,404.638992,21.046267,377.689241,650.403859,134.347374,141.12307,348.179469,177.333691,110.659201,101.787966,21.027261,0.0,26.378625,3.849252,8.300587,68.514156,217.701821,106.90171,727.604135,31377.360271,13.523674,365.824422
1999-01-01,5598.960957,304.066864,395.77072,79.307642,6378.106183,40.060282,638.539131,55.366945,7769.788561,290.0524,4941.622001,490.653358,28.829022,1213.388456,107.177438,78.46841,7817.200769,5722.298186,999.895129,1502.520317,1354.633905,274.153788,35.9668,41.660238,807.975517,7312.57816,542.58153,1409.359788,84.646602,259.184546,560.998207,144.278545,1051.174869,1068.383581,133.59186,299.26961,14.208782,292.949529,563.824325,115.401604,116.460944,294.505004,173.150983,93.458468,86.746584,20.058762,0.0,12.253039,8.752101,5.431126,86.032618,205.927352,110.014028,601.036229,25508.157376,9.532977,231.433687
