indice_tiempo,ica_importaciones_brasil,ica_importaciones_paraguay,ica_importaciones_uruguay,ica_importaciones_venezuela,ica_importaciones_total_mercosur,ica_importaciones_bolivia,ica_importaciones_chile,ica_importaciones_colombia,ica_importaciones_mexico,ica_importaciones_peru,ica_importaciones_alianza_pacifico,ica_importaciones_ecuador,ica_importaciones_resto_al,ica_importaciones_total_resto_al,ica_importaciones_canada,ica_importaciones_estados_unidos,ica_importaciones_alemania,ica_importaciones_autria,ica_importaciones_belgica,ica_importaciones_espana,ica_importaciones_francia,ica_importaciones_italia,ica_importaciones_paises_bajos,ica_importaciones_polonia,ica_importaciones_portugal,ica_importaciones_reino_unido,ica_importaciones_resto_ue_28,ica_importaciones_total_ue_28,ica_importaciones_suiza,ica_importaciones_india,ica_importaciones_rusia,ica_importaciones_china,ica_importaciones_corea,ica_importaciones_indonesia,ica_importaciones_japon,ica_importaciones_tailandia,ica_importaciones_taiwan,ica_importaciones_vietnam,ica_importaciones_resto_pacifico,ica_importaciones_total_pacifico,ica_importaciones_israel,ica_importaciones_australia,ica_importaciones_nueva_zelanda,ica_importaciones_angola,ica_importaciones_argelia,ica_importaciones_egipto,ica_importaciones_marruecos,ica_importaciones_sudafrica,ica_importaciones_resto_africa,ica_importaciones_total_africa,ica_importaciones_resto_mundo,ica_importaciones_totales,ica_participacion_importaciones_aladi_total,ica_importaciones_asean,ica_importaciones_medio_oriente,ica_participacion_import_mercado_comun_centroamericano,ica_participacion_importaciones_can_total,ica_importaciones_total_nafta
1990-01-01,62.269626,4.060515,4.181265,1.653211,72.164617,19.549853,8.349146,1.178642,23.429375,2.452719,35.409882,0.6802,1.230696,129.035248,5.702046,84.302887,0.0,3.533889,2.374478,19.637556,14.584044,24.534567,3.191016,0.380929,0.256705,8.031782,78.378363,1.853397,9.682959,0.382227,0.0,1.943085,4.396593,0.371365,15.820348,0.041608,1.031398,0.0,3.372329,26.976726,0.867546,7.239256,0.092726,0.0,0.0,0.003789,0.026067,0.0,0.846029,0.875885,42.216871,385.75274,127.896981,3.785302,0.914835,0.041466,23.861414,113.434308
1990-02-01,35.84374,1.449317,3.316514,0.124096,40.733667,18.130244,5.293972,2.124309,6.303434,0.403278,14.124993,0.357232,1.048182,74.394318,1.283544,45.886426,0.0,1.543861,1.798439,6.952148,8.617964,11.122006,3.891495,2.594715,0.437583,4.845068,44.067075,2.263796,4.57364,0.507463,0.0,2.180668,6.27182,0.498778,14.196323,0.099981,1.133026,0.0,1.93603,26.316626,0.461006,0.284123,0.147804,0.005985,0.0,0.013967,0.0,0.0,0.163014,0.182966,28.054224,226.159215,73.86776,2.534789,0.468616,0.0,21.015063,53.473404
1990-03-01,48.641463,2.884502,4.071063,0.196507,55.793535,19.214083,7.09188,1.606218,6.625764,0.44784,15.771702,0.505135,0.709602,91.994057,1.646552,67.132622,0.0,1.973749,2.349395,7.517441,17.854736,17.276778,4.835503,0.179989,0.032496,7.737371,62.52524,2.767782,5.791834,0.876435,0.0,1.56978,6.242475,0.608779,11.872951,0.044253,1.615848,0.0,3.284568,25.238654,0.39845,11.447546,0.113236,0.0,0.0,0.0,0.011925,0.0,0.165077,0.177002,35.54553,302.887158,92.22539,3.9376,0.466273,0.001067,21.773276,75.404938
1990-04-01,40.955503,1.180201,4.760735,0.588019,47.484458,17.632837,4.269131,2.678929,4.735596,1.238959,12.922615,0.833185,1.786766,80.659861,1.106517,61.204408,0.0,1.656141,2.553706,5.084605,18.95311,19.266501,3.454174,0.446165,0.046406,6.006038,60.14794,2.681094,5.427785,0.564984,0.0,2.296066,5.646497,0.997792,11.310996,0.021249,1.373489,0.0,2.750954,24.397043,0.477868,5.236653,0.021279,0.0,0.0,0.0,0.0,0.0,0.225181,0.225181,36.987785,276.457304,79.324916,3.769995,0.477868,0.016141,22.38391,67.046521
1990-05-01,51.437991,2.736476,5.549633,0.484601,60.208701,20.34879,6.419446,2.741536,5.119208,1.310651,15.590841,1.16127,0.554186,97.863788,1.298974,53.141126,0.0,1.194906,2.454315,9.547222,15.850021,16.058328,2.875479,0.683819,0.141402,14.826258,66.516626,2.884876,6.856857,0.720522,0.0,2.074271,8.380134,0.892011,13.697093,0.112278,2.017169,0.0,2.452616,29.625572,0.613539,0.186378,0.055668,0.0,0.0,0.0,0.020068,0.0,0.309568,0.329636,44.924805,302.133491,97.954272,3.456905,0.639242,0.014238,25.562247,59.559308
1990-06-01,49.061435,4.011199,4.432796,0.589122,58.094552,21.001398,4.663762,0.533103,3.602872,0.197624,8.997361,0.751799,2.749488,91.594598,1.215897,52.342448,0.0,1.911066,3.214886,5.654586,10.582714,15.731788,2.083613,3.488794,0.113034,5.295645,50.37712,2.300994,5.1736,0.672802,0.0,1.887931,4.917062,0.520953,8.967952,0.024847,1.095447,0.0,1.366576,18.780768,0.477573,2.56709,0.121263,0.0,0.0,0.0,0.0,0.0,0.121593,0.121593,44.23954,267.684292,88.931935,1.912376,0.477573,0.0,22.483924,57.161217
1990-07-01,55.132893,2.540447,5.137594,0.98579,63.796724,19.172375,6.866259,3.888365,6.867386,0.566249,18.188259,1.913543,2.038152,105.109053,3.074484,65.819325,0.0,2.522091,3.988972,9.374953,12.193208,19.109554,3.470237,0.602204,0.196523,6.739961,65.18321,6.985507,8.623458,0.386857,0.0,3.44842,3.739018,0.3153,14.104687,0.039675,1.820474,0.0,3.044467,26.512041,1.225763,4.545128,0.043044,0.0,0.0,0.0,0.003997,0.0,0.290958,0.294955,32.593028,313.410346,103.909571,3.399442,1.229134,0.210447,25.540532,75.761195
1990-08-01,55.594217,5.19382,7.146714,1.115531,69.050282,19.293558,7.693332,2.52196,9.197577,0.544945,19.957814,2.528182,0.902626,111.732462,2.211608,60.831479,0.0,1.560178,4.019216,6.775906,16.033536,18.284987,4.560156,0.16648,0.228577,6.420778,61.582873,3.533059,7.603015,0.731308,0.0,3.312841,3.815212,0.935565,13.466537,0.032376,1.566761,0.0,3.758404,26.887696,1.253337,0.210827,0.005339,0.0,0.0,0.005139,0.340917,0.0,0.148934,0.49499,38.73071,312.275644,111.302398,4.726345,1.267438,0.002743,24.888645,72.240664
1990-09-01,58.225716,5.966897,6.20444,0.842868,71.239921,17.323204,7.005574,1.766689,11.615689,0.880085,21.268037,1.36374,0.372553,111.567455,2.510868,70.677716,0.0,2.044234,3.76235,6.838731,15.575864,18.611682,4.569158,0.454934,0.418156,6.819517,61.991619,2.896993,7.141409,0.332214,0.0,3.115419,5.462921,0.669174,13.705111,0.08471,2.073621,0.0,2.902877,28.013833,0.352986,0.796141,0.004303,0.0,0.0,0.013883,0.219679,0.0,0.162918,0.39648,42.464115,326.249139,112.24519,3.656761,0.670068,0.021636,21.333718,84.804273
1990-10-01,67.139555,3.091201,10.285207,0.495431,81.011394,21.108201,9.818578,4.927057,14.841746,1.665696,31.253077,1.717088,1.027019,136.116779,2.406334,85.776961,0.0,3.899144,2.794891,8.431613,16.635635,18.590378,4.669867,0.620026,0.184747,9.164874,75.089239,10.098064,9.410792,0.492956,0.0,4.26508,5.348786,0.862771,17.978207,0.046872,2.825245,0.0,2.663797,33.990758,0.958149,26.086929,0.112421,0.0,0.0,0.012186,0.02707,0.0,0.306783,0.346039,54.062517,424.849874,135.861516,3.57344,1.024103,0.110799,29.418042,103.025041
