indice_tiempo,ica_importaciones_brasil,ica_importaciones_paraguay,ica_importaciones_uruguay,ica_importaciones_venezuela,ica_importaciones_total_mercosur,ica_importaciones_bolivia,ica_importaciones_chile,ica_importaciones_colombia,ica_importaciones_mexico,ica_importaciones_peru,ica_importaciones_alianza_pacifico,ica_importaciones_ecuador,ica_importaciones_resto_al,ica_importaciones_total_resto_al,ica_importaciones_canada,ica_importaciones_estados_unidos,ica_importaciones_alemania,ica_importaciones_austria,ica_importaciones_belgica,ica_importaciones_espana,ica_importaciones_francia,ica_importaciones_italia,ica_importaciones_paises_bajos,ica_importaciones_polonia,ica_importaciones_portugal,ica_importaciones_reino_unido,ica_importaciones_resto_ue_28,ica_importaciones_total_ue_28,ica_importaciones_suiza,ica_importaciones_india,ica_importaciones_rusia,ica_importaciones_china,ica_importaciones_corea,ica_importaciones_indonesia,ica_importaciones_japon,ica_importaciones_tailandia,ica_importaciones_taiwan,ica_importaciones_vietnam,ica_importaciones_resto_pacifico,ica_participacion_importaciones_asia_pacifico,ica_importaciones_israel,ica_importaciones_australia,ica_importaciones_nueva_zelanda,ica_importaciones_angola,ica_importaciones_argelia,ica_importaciones_egipto,ica_importaciones_marruecos,ica_importaciones_sudafrica,ica_importaciones_resto_africa,ica_importaciones_total_africa,ica_importaciones_resto_mundo,ica_importaciones_totales,ica_participacion_importaciones_aladi_total,ica_importaciones_asean,ica_importaciones_medio_oriente,ica_participacion_import_mercado_comun_centroamericano,ica_participacion_importaciones_can_total,ica_importaciones_total_nafta
1990-01-01,146.754829,8.394334,11.568842,1.973814,168.691819,56.89418,20.734998,4.909169,36.358573,3.303837,65.306577,1.542567,2.98848,295.423623,8.632142,197.321935,0.0,7.051499,6.522312,34.107145,41.056744,52.933351,11.918014,3.155633,0.726784,20.614221,184.970678,6.884975,20.048433,1.766125,0.0,5.693533,16.910888,1.478922,41.889622,0.185842,3.780272,0.0,8.592927,78.532006,1.727002,18.970925,0.353766,0.005985,0.0,0.017756,0.037992,0.0,1.17412,1.235853,105.816625,914.799113,293.990131,10.257691,1.849724,0.042533,66.649753,242.31265
1990-04-01,141.454929,7.927876,14.743164,1.661742,165.787711,58.983025,15.352339,5.953568,13.457676,2.747234,37.510817,2.746254,5.09044,270.118247,3.621388,166.687982,0.0,4.762113,8.222907,20.286413,45.385845,51.056617,8.413266,4.618778,0.300842,26.127941,177.041686,7.866964,17.458242,1.958308,0.0,6.258268,18.943693,2.410756,33.976041,0.158374,4.486105,0.0,6.570146,72.803383,1.56898,7.990121,0.19821,0.0,0.0,0.0,0.020068,0.0,0.656342,0.67641,126.15213,846.275087,266.211123,9.139276,1.594683,0.030379,70.430081,183.767046
1990-07-01,168.952826,13.701164,18.488748,2.944189,204.086927,55.789137,21.565165,8.177014,27.680652,1.991279,59.41411,5.805465,3.313331,328.40897,7.79696,197.32852,0.0,6.126503,11.770538,22.98959,43.802608,56.006223,12.599551,1.223618,0.843256,19.980256,188.757702,13.415559,23.367882,1.450379,0.0,9.87668,13.017151,1.920039,41.276335,0.156761,5.460856,0.0,9.705748,81.41357,2.832086,5.552096,0.052686,0.0,0.0,0.019022,0.564593,0.0,0.60281,1.186425,113.787853,951.935129,327.457159,11.782548,3.16664,0.234826,71.762895,232.806132
1990-10-01,257.984385,9.731464,33.729868,1.455058,302.900775,64.184962,37.793411,8.170102,39.348055,3.647649,88.959217,7.482652,5.994369,469.521975,12.083899,243.641373,54.396392,8.581906,11.006627,33.815298,43.493462,53.465779,16.066071,7.839106,1.090005,27.951268,277.778409,20.072495,23.60922,2.529837,0.0,19.110447,38.815862,2.657118,64.083353,0.352977,12.002113,0.0,13.684894,150.706764,2.455392,56.905923,0.267144,0.028362,0.0,0.028196,0.251398,0.0,1.302502,1.610458,122.545279,1363.655673,468.360073,16.694989,14.772324,0.187758,83.485365,295.073327
1991-01-01,206.515432,5.929106,24.952948,1.167805,238.565291,69.84351,32.754945,4.257184,43.658481,7.514841,88.185451,7.160738,5.570801,409.325791,9.072489,225.521932,126.00747,8.697348,9.373563,51.18672,47.092744,66.909646,24.916128,4.579369,0.554824,31.081712,386.522704,16.12318,22.259435,2.30639,0.0,20.157706,28.659767,1.693251,72.833745,0.666741,13.55592,0.0,7.555453,145.122583,2.710575,6.408959,0.271539,0.0,0.0,0.021566,0.323908,8.43244,38.265652,47.043566,44.003936,1300.569899,405.642021,9.915445,2.76367,0.232254,88.776273,278.252902
1991-04-01,286.287095,8.434942,40.619179,2.553958,337.895174,66.582625,48.306539,6.881155,36.744222,6.820523,98.752439,4.430656,8.057954,515.718848,19.847073,343.217971,121.823128,10.488199,12.414936,43.013165,54.888833,80.066259,19.341966,3.119384,0.971407,42.47341,415.639025,27.038338,29.533768,3.97318,0.0,40.73485,46.876492,2.930535,153.765448,1.842291,24.826236,0.014566,16.417017,287.407435,3.473223,37.213719,0.752608,0.022487,0.0,0.037063,0.0,9.835433,4.299696,14.194679,71.998136,1742.969665,511.412826,21.204409,4.141233,0.740005,84.714959,399.809266
1991-07-01,440.098788,9.350358,46.231909,15.812397,511.493452,56.719689,70.198882,6.67736,48.05901,23.221911,148.157163,4.297616,15.32387,735.99179,15.767856,419.978545,150.261444,10.203418,16.143497,49.962309,87.260714,111.241494,49.915297,5.35185,2.129312,54.063049,567.605526,31.073142,35.3246,4.90745,0.0,63.546888,62.652041,3.44612,134.516189,2.720972,36.505931,0.132308,19.571689,323.092138,7.245902,28.422271,12.549094,0.0,0.0,0.144063,0.526776,10.785315,10.045925,21.502079,103.86844,2276.255691,724.179213,25.871089,7.363563,0.828296,90.916576,483.746925
1991-10-01,598.960523,16.639854,54.175606,4.108327,673.88431,54.325888,84.547096,16.672504,52.219969,11.784101,165.22367,10.015868,11.791524,915.24126,20.655067,482.256148,227.397646,9.662933,19.949817,57.256556,110.991038,117.983023,27.814742,4.415462,3.24555,71.98238,686.594873,35.895726,32.944488,7.663847,0.0,116.220195,135.941122,5.144574,241.02247,5.068689,62.183611,0.096939,28.317583,593.995183,6.40426,24.326891,6.18403,0.004421,0.0,0.07757,0.505562,26.517185,5.236891,32.341629,146.868003,2955.475679,908.050158,38.634312,7.016554,1.726591,92.798361,555.131184
1992-01-01,675.351925,16.807932,55.356784,5.204514,752.721155,47.74711,79.346152,8.979573,53.750163,6.26302,148.338908,8.472368,13.466375,970.745916,21.397725,460.315322,199.829389,15.681542,20.06355,72.944123,113.724564,144.612049,27.09262,6.001709,1.756959,51.063029,693.373414,40.60388,37.430954,7.661926,7.13154,103.282648,125.136945,4.525507,207.925149,4.013077,53.24352,0.0,25.944132,524.070978,8.178777,5.583613,6.667856,0.0,0.004427,0.085845,0.728068,18.74851,0.998293,20.565143,124.348681,2887.471845,961.124234,34.482716,8.682802,1.943,71.462071,535.450131
1992-04-01,806.157519,12.680793,67.255808,6.957095,893.051215,37.239187,97.431294,25.101811,46.125846,37.310943,205.969894,9.649389,13.28125,1159.190935,26.12436,553.729624,209.390833,12.165205,27.424486,116.298998,182.549809,179.585949,31.406735,13.902232,2.5091,59.080938,878.719314,44.405029,46.965427,7.172803,12.643968,132.686477,160.4768,4.67356,252.879417,4.911591,58.007472,0.001654,37.787282,651.424253,10.18291,11.999327,21.431031,0.0,0.004752,0.077027,0.74617,23.813278,1.127748,25.768975,176.283529,3581.636456,1150.065469,47.393884,10.413159,2.267887,109.30133,625.957598
